Signal 1:
Value:             FFT:             FFT_abs: 
6.03815             -1.04153e+10             1.04153e+10

5.98792             -1.03763e+10             1.03763e+10

6.14796             -1.02599e+10             1.02599e+10

6.00812             -1.00676e+10             1.00676e+10

5.91867             -9.80191e+09             9.80191e+09

5.96742             -9.46649e+09             9.46649e+09

5.92673             -9.06574e+09             9.06574e+09

6.0643             -8.60497e+09             8.60497e+09

5.91127             -8.09024e+09             8.09024e+09

6.18156             -7.52826e+09             7.52826e+09

6.13601             -6.92633e+09             6.92633e+09

5.7854             -6.29216e+09             6.29216e+09

5.82576             -5.6338e+09             5.6338e+09

6.29982             -4.95952e+09             4.95952e+09

5.87837             -4.27762e+09             4.27762e+09

5.75557             -3.59638e+09             3.59638e+09

6.25127             -2.92389e+09             2.92389e+09

6.11471             -2.26795e+09             2.26795e+09

5.82322             -1.63592e+09             1.63592e+09

6.26949             -1.03469e+09             1.03469e+09

5.93114             -4.70487e+08             4.70487e+08

5.9168             5.11299e+07             5.11299e+07

6.18173             5.25387e+08             5.25387e+08

5.90734             9.48334e+08             9.48334e+08

5.73812             1.3169e+09             1.3169e+09

6.26975             1.6289e+09             1.6289e+09

5.88183             1.88309e+09             1.88309e+09

6.10991             2.07912e+09             2.07912e+09

6.04923             2.21755e+09             2.21755e+09

5.98516             2.29978e+09             2.29978e+09

5.94335             2.32805e+09             2.32805e+09

6.15351             2.30536e+09             2.30536e+09

5.92069             2.23539e+09             2.23539e+09

6.09779             2.12242e+09             2.12242e+09

6.25283             1.97126e+09             1.97126e+09

5.92499             1.78715e+09             1.78715e+09

5.86313             1.57564e+09             1.57564e+09

6.04037             1.34249e+09             1.34249e+09

5.93859             1.0936e+09             1.0936e+09

6.29678             8.34839e+08             8.34839e+08

5.81644             5.72011e+08             5.72011e+08

5.81871             3.10709e+08             3.10709e+08

6.14588             5.62438e+07             5.62438e+07

5.90179             -1.86445e+08             1.86445e+08

6.1248             -4.12867e+08             4.12867e+08

5.78668             -6.19044e+08             6.19044e+08

6.21158             -8.01567e+08             8.01567e+08

5.70855             -9.57638e+08             9.57638e+08

6.11169             -1.0851e+09             1.0851e+09

5.82116             -1.18245e+09             1.18245e+09

5.83946             -1.24887e+09             1.24887e+09

5.79611             -1.28416e+09             1.28416e+09

6.25488             -1.28881e+09             1.28881e+09

6.29711             -1.26387e+09             1.26387e+09

6.0751             -1.21098e+09             1.21098e+09

5.72906             -1.1323e+09             1.1323e+09

6.16144             -1.03041e+09             1.03041e+09

6.06249             -9.08315e+08             9.08315e+08

6.08083             -7.69321e+08             7.69321e+08

6.13254             -6.16971e+08             6.16971e+08

6.14274             -4.54971e+08             4.54971e+08

5.81336             -2.87109e+08             2.87109e+08

5.91078             -1.17171e+08             1.17171e+08

6.06723             5.11297e+07             5.11297e+07

5.78947             2.14231e+08             2.14231e+08

6.06882             3.68789e+08             3.68789e+08

6.28592             5.11739e+08             5.11739e+08

5.80435             6.4035e+08             6.4035e+08

6.14659             7.52276e+08             7.52276e+08

5.74596             8.4559e+08             8.4559e+08

5.96895             9.18811e+08             9.18811e+08

6.00072             9.70928e+08             9.70928e+08

5.88833             1.0014e+09             1.0014e+09

6.13502             1.01018e+09             1.01018e+09

5.73944             9.97643e+08             9.97643e+08

6.27367             9.6465e+08             9.6465e+08

5.89327             9.12452e+08             9.12452e+08

5.87418             8.42684e+08             8.42684e+08

5.76872             7.57312e+08             7.57312e+08

6.17602             6.58588e+08             6.58588e+08

6.01929             5.48993e+08             5.48993e+08

6.12473             4.31177e+08             4.31177e+08

5.9949             3.07906e+08             3.07906e+08

6.17122             1.81994e+08             1.81994e+08

6.07851             5.62454e+07             5.62454e+07

6.14597             -6.66051e+07             6.66051e+07

5.89791             -1.83948e+08             1.83948e+08

6.20824             -2.93353e+08             2.93353e+08

6.21238             -3.92614e+08             3.92614e+08

6.07029             -4.79795e+08             4.79795e+08

6.07446             -5.53263e+08             5.53263e+08

6.0966             -6.11717e+08             6.11717e+08

6.06666             -6.54206e+08             6.54206e+08

6.07811             -6.80148e+08             6.80148e+08

6.21311             -6.89329e+08             6.89329e+08

5.88137             -6.81902e+08             6.81902e+08

5.76638             -6.58376e+08             6.58376e+08

6.17287             -6.196e+08             6.196e+08

6.06913             -5.66735e+08             5.66735e+08

6.21815             -5.01223e+08             5.01223e+08

6.2909             -4.24754e+08             4.24754e+08

5.95608             -3.39219e+08             3.39219e+08

5.83966             -2.46671e+08             2.46671e+08

5.74807             -1.49276e+08             1.49276e+08

6.24882             -4.9262e+07             4.9262e+07

6.20231             5.11278e+07             5.11278e+07

5.93861             1.49684e+08             1.49684e+08

6.27288             2.44279e+08             2.44279e+08

5.85308             3.3291e+08             3.3291e+08

6.23414             4.13741e+08             4.13741e+08

6.17169             4.8514e+08             4.8514e+08

5.9298             5.4571e+08             5.4571e+08

6.09596             5.94312e+08             5.94312e+08

6.09724             6.30093e+08             6.30093e+08

6.11138             6.52491e+08             6.52491e+08

6.16664             6.61247e+08             6.61247e+08

6.12394             6.56403e+08             6.56403e+08

5.73527             6.38301e+08             6.38301e+08

6.07199             6.07562e+08             6.07562e+08

6.11672             5.65076e+08             5.65076e+08

6.01286             5.11973e+08             5.11973e+08

5.96503             4.49597e+08             4.49597e+08

6.28464             3.79474e+08             3.79474e+08

5.97397             3.03274e+08             3.03274e+08

5.94282             2.2277e+08             2.2277e+08

5.85125             1.39806e+08             1.39806e+08

6.07219             5.62477e+07             5.62477e+07

6.16779             -2.6056e+07             2.6056e+07

5.97327             -1.05311e+08             1.05311e+08

6.0818             -1.79819e+08             1.79819e+08

6.02434             -2.4801e+08             2.4801e+08

5.93817             -3.0848e+08             3.0848e+08

5.8179             -3.60011e+08             3.60011e+08

5.74255             -4.01602e+08             4.01602e+08

5.9726             -4.32486e+08             4.32486e+08

6.11068             -4.52138e+08             4.52138e+08

5.81975             -4.60293e+08             4.60293e+08

6.29247             -4.56936e+08             4.56936e+08

5.96524             -4.42309e+08             4.42309e+08

5.87134             -4.16898e+08             4.16898e+08

6.12612             -3.81416e+08             3.81416e+08

5.93845             -3.3679e+08             3.3679e+08

6.04234             -2.84132e+08             2.84132e+08

6.14183             -2.24719e+08             2.24719e+08

5.86355             -1.59954e+08             1.59954e+08

6.01059             -9.13424e+07             9.13424e+07

6.01078             -2.04502e+07             2.04502e+07

5.75426             5.11252e+07             5.11252e+07

5.91305             1.21794e+08             1.21794e+08

5.93691             1.90008e+08             1.90008e+08

5.81922             2.54294e+08             2.54294e+08

6.0264             3.13282e+08             3.13282e+08

6.28475             3.65739e+08             3.65739e+08

6.01858             4.10592e+08             4.10592e+08

5.93317             4.46948e+08             4.46948e+08

5.73649             4.74113e+08             4.74113e+08

5.89315             4.91605e+08             4.91605e+08

6.00471             4.99159e+08             4.99159e+08

5.90988             4.96735e+08             4.96735e+08

6.29837             4.84512e+08             4.84512e+08

5.93206             4.62881e+08             4.62881e+08

6.06754             4.32438e+08             4.32438e+08

5.97342             3.93964e+08             3.93964e+08

6.13637             3.4841e+08             3.4841e+08

6.04956             2.96867e+08             2.96867e+08

5.97732             2.4055e+08             2.4055e+08

6.18964             1.8076e+08             1.8076e+08

5.86039             1.18862e+08             1.18862e+08

5.92305             5.62507e+07             5.62507e+07

6.07736             -5.68086e+06             5.68086e+06

6.2412             -6.55699e+07             6.55699e+07

6.24093             -1.22116e+08             1.22116e+08

6.23421             -1.74105e+08             1.74105e+08

5.859             -2.2044e+08             2.2044e+08

5.80256             -2.6016e+08             2.6016e+08

6.18393             -2.92462e+08             2.92462e+08

6.04399             -3.16714e+08             3.16714e+08

6.13666             -3.3247e+08             3.3247e+08

6.11498             -3.39476e+08             3.39476e+08

6.10598             -3.37676e+08             3.37676e+08

6.1677             -3.27205e+08             3.27205e+08

5.82276             -3.08392e+08             3.08392e+08

6.16153             -2.81745e+08             2.81745e+08

5.90915             -2.47938e+08             2.47938e+08

5.94991             -2.07799e+08             2.07799e+08

5.9028             -1.62284e+08             1.62284e+08

